nohup: ignoring input
Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [24/Oct/2025 03:27:14] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Oct/2025 03:27:14] "GET /_build/default/ui/hw6_speed_game_ui.bc.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2025 03:29:24] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Oct/2025 03:31:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Oct/2025 03:31:01] "GET /_build/default/ui/hw6_speed_game_ui.bc.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2025 03:31:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Oct/2025 03:31:31] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2025 03:33:41] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2025 03:38:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Oct/2025 03:38:12] "GET /_build/default/ui/hw6_speed_game_ui.bc.js HTTP/1.1" 304 -
